Elapsed time,200,401,504,Non HTTP response code: java.net.SocketException
20:31:00.0,2.0166666666666644,,,
20:32:00.0,,,0.26666666666666666,
20:33:00.0,,,0.44999999999999996,
20:34:00.0,,,0.5333333333333333,
20:35:00.0,,,0.3,
20:36:00.0,,0.05,0.5833333333333335,
20:37:00.0,,,1.2166666666666672,
20:38:00.0,,0.08333333333333333,1.0500000000000012,
20:39:00.0,,,0.4333333333333333,
20:40:00.0,,,0.35,
20:41:00.0,,,0.6666666666666671,
20:42:00.0,,,0.7166666666666672,0.016666666666666666
20:43:00.0,,,0.2833333333333333,
20:44:00.0,,,0.16666666666666666,
20:45:00.0,,,0.36666666666666664,
20:46:00.0,,,0.3833333333333333,
20:47:00.0,,0.05,1.6999999999999988,
20:48:00.0,,,1.2500000000000004,
20:49:00.0,,,0.5166666666666666,
20:50:00.0,,,1.183333333333334,
20:51:00.0,,,0.36666666666666664,
20:52:00.0,,,0.6000000000000002,
