Elapsed time,Accountant flow,Driver flow,Easyship Create Orders & Book Pickup Via API Gateway,Lazada Create Orders Via API Gateway,Merchant Flows,Merchant Flows Create Bulk Upload,Ops flow
20:31:00.0,1.0,1.0,1.0,1.0,2.6666666666666674,1.0,1.0
20:32:00.0,1.0,,1.0,1.0,18.90909090909091,1.0,1.0
20:33:00.0,1.0,,1.0,1.0,30.545454545454547,1.0,1.0
20:34:00.0,1.0,,1.0,1.0,42.333333333333336,1.0,1.0
20:35:00.0,,,,,52.72222222222222,,
20:36:00.0,1.0,,1.0,1.0,61.833333333333336,1.0,1.0
20:37:00.0,1.0,,1.0,1.0,76.95588235294117,1.0,1.0
20:38:00.0,1.0,,1.0,1.0,90.2,1.0,1.0
20:39:00.0,,,,,99.5,,
20:40:00.0,,,,,100.0,,
20:41:00.0,,,1.0,,100.0,,1.0
20:42:00.0,1.0,,,1.0,100.0,1.0,
20:43:00.0,,,,,100.0,,
20:44:00.0,,,,,100.0,,1.0
20:45:00.0,,,,,100.0,,
20:46:00.0,1.0,,1.0,,100.0,,
20:47:00.0,1.0,,1.0,1.0,100.0,1.0,1.0
20:48:00.0,,,,,100.0,,1.0
20:49:00.0,1.0,,1.0,1.0,100.0,1.0,
20:50:00.0,,,,,100.0,,1.0
20:51:00.0,,,,,100.0,1.0,
20:52:00.0,1.0,,1.0,1.0,100.0,,1.0
