sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Login,50516,935,168,1565,76,246547,0.40%,12.8,5.4,7583.16
Create delivery - step 1,292,6764,4551,8040,215,130084,3.08%,.7,.7,13350.97
Bulk Upload Step 1- Create Draft,9,3449,3539,7866,234,8020,0.00%,.0,.0,2739.85
Update delivery - before confirm,283,5251,2495,4692,246,107951,6.36%,.7,18.1,14723.33
Bulk Upload Step 1- Update Data,9,2015,1752,3041,402,4447,0.00%,.0,.0,1155.67
Confirm delivery,265,6608,5206,8224,181,81815,2.64%,.7,.2,9960.27
Bulk Upload Step 1- Upload File,9,2095,1880,3307,784,4203,0.00%,.0,.0,1042.97
View delivery,258,5363,2355,4619,168,131029,3.10%,.6,1.6,15447.26
TOTAL,51641,1044,173,1679,76,246547,0.47%,13.1,7.5,7790.85
