Elapsed time,Bulk Upload Step 1- Create Draft,Bulk Upload Step 1- Update Data,Bulk Upload Step 1- Upload File,Confirm delivery,Create delivery - step 1,Login,Update delivery - before confirm,View delivery
10:31:00.0,451.5,686.5,1204.0,1391.1818181818182,1164.6666666666667,1487.030303030303,672.4615384615385,487.0
10:32:00.0,1423.0,1535.0,1168.0,2050.2156862745096,1919.482142857143,2249.354430379747,1275.436363636364,1083.7659574468084
10:33:00.0,3577.0,1808.5,2120.5,3993.5714285714284,3443.898305084746,3668.0384615384614,2151.4262295081962,1925.6842105263158
10:34:00.0,6137.5,2818.0,2836.5,5720.046153846154,5056.013513513513,4856.213483146068,2834.3235294117644,2703.9545454545455
10:35:00.0,7866.0,4447.0,4203.0,7671.55737704918,6970.444444444444,6489.932432432431,3854.8032786885246,3616.1509433962265
10:36:00.0,,,,10148.8,10477.0,9745.636363636368,7530.294117647059,8330.9375
10:37:00.0,,,,69277.83333333333,75066.57142857143,79306.83333333333,84206.66666666667,83258.57142857143
10:38:00.0,,,,,130084.0,81010.43636363637,107412.5,131029.0
10:39:00.0,,,,,,70536.57894736843,,
10:40:00.0,,,,,,104028.97435897436,,
10:41:00.0,,,,,,8053.230815709979,,
10:42:00.0,,,,,,251.5126492612832,,
10:43:00.0,,,,,,239.92721044744155,,
10:44:00.0,,,,,,251.96408317580358,,
10:45:00.0,,,,,,254.09760589318606,,
10:46:00.0,,,,,,280.4309978768576,,
10:47:00.0,,,,,,419.45949820788513,,
10:48:00.0,,,,,,664.028708133971,,
10:49:00.0,,,,,,865.8172458172454,,
10:50:00.0,,,,,,706.8419388830349,,
10:51:00.0,,,,,,498.1718213058421,,
10:52:00.0,,,,,,591.3186029935857,,
10:53:00.0,,,,,,482.6440177252583,,
10:54:00.0,,,,,,440.3015343562375,,
10:55:00.0,,,,,,457.57211209842734,,
10:56:00.0,,,,,,380.465020576131,,
10:57:00.0,,,,,,372.1014285714282,,
10:58:00.0,,,,,,800.0287413280473,,
10:59:00.0,,,,,,421.39424031777554,,
11:00:00.0,,,,,,750.3284883720925,,
11:01:00.0,,,,,,784.6806039488963,,
11:02:00.0,,,,,,714.8701799485864,,
11:03:00.0,,,,,,554.1209677419359,,
11:04:00.0,,,,,,512.0321931589541,,
11:05:00.0,,,,,,480.14835948644793,,
11:06:00.0,,,,,,722.1660839160844,,
11:07:00.0,,,,,,733.939086294416,,
11:08:00.0,,,,,,500.5149051490518,,
11:09:00.0,,,,,,716.3810316139766,,
11:10:00.0,,,,,,613.5038461538461,,
11:11:00.0,,,,,,626.3980815347718,,
11:12:00.0,,,,,,716.8974943052389,,
11:13:00.0,,,,,,373.41361256544457,,
11:14:00.0,,,,,,386.10481586402284,,
11:15:00.0,,,,,,414.816513761468,,
11:16:00.0,,,,,,586.2931442080381,,
11:17:00.0,,,,,,683.2142857142859,,
11:18:00.0,,,,,,833.2701421800948,,
11:19:00.0,,,,,,936.9622641509434,,
11:20:00.0,,,,,,1193.811428571428,,
11:21:00.0,,,,,,1145.4375000000005,,
11:22:00.0,,,,,,1158.9157894736834,,
11:23:00.0,,,,,,842.5459183673471,,
11:24:00.0,,,,,,590.7727272727273,,
11:25:00.0,,,,,,640.3157894736842,,
11:26:00.0,,,,,,777.45,,
11:27:00.0,,,,,,983.5,,
11:28:00.0,,,,,,577.3333333333334,,
11:37:00.0,,,,,,651.0,,
